324,"MIAMI BEACH HOTEL",3,10,1,3.56,0,1,0,0,0,1,0
325,"MINAMARK BEACH RESORT",4,5,1,3.9,1,0,0,0,1,1,0
326,"LE MIRAGE MOON RESORT (EX. MOON RESORT MARSA ALAM)",4,11,1,4.1,0,1,0,0,0,1,0
327,"CLUB MARMARA (EX. MORGANA BEACH RESORT)",4,14,1,3.8,1,1,1,0,0,1,0
328,"MOVENPICK RESORT & SPA EL GOUNA",5,15,1,4.58,0,1,1,1,0,1,1
329,"MOVENPICK RESORT & SPA NABQ",5,6,1,0,0,1,1,0,0,1,0
330,"MOVENPICK RESORT TABA",5,14,1,4.3,1,1,1,1,0,1,0
331,"MOVENPICK RESORT EL QUSEIR",5,11,1,4.83,0,1,0,0,0,1,0
332,"AURORA NADA MARSA ALAM RESORT",4,11,1,4.17,0,1,0,0,0,1,0
333,"NEFERTITI BEACH",3,5,1,2.71,0,1,1,1,0,1,0
334,"NEW RAMOZA HOTEL",2,5,1,2.64,1,0,0,0,1,0,0
335,"MORJIM BEACH RESORT",3,18,3,4.13,0,1,0,0,0,1,0
336,"JOSE HOLIDAY HOME",2,16,3,4.56,0,0,0,0,1,0,0
337,"NORIA RESORT HOTEL",4,6,1,3.85,1,0,0,0,1,0,0
338,"NOVOTEL BEACH SHARM EL-SHEIKH",5,6,1,4.7,1,0,1,0,1,1,1
339,"NOVOTEL PALM",5,6,1,4.77,1,0,0,0,0,0,0
340,"NUBIAN ISLAND",5,6,1,4.63,1,0,1,0,0,1,0
341,"NUBIAN VILLAGE",5,6,1,4.74,1,0,1,0,0,1,0
342,"THE OBEROI SAHL HASHEESH",5,5,1,4.67,0,1,0,1,0,1,1
343,"OLD PALACE RESORT SAHL HASHESH",5,5,1,4.51,0,1,1,0,0,1,0
344,"AURORA ORIENTAL BAY RESORT MARSA ALAM (EX. ORIENTAL BAY RESORT)",5,11,1,4.09,1,0,1,0,1,0,0
345,"AURORA ORIENTAL RESORT (EX. ORIENTAL RESORT)",5,6,1,4.07,0,1,1,0,0,1,0
346,"ORIENTAL RIVOLI",4,6,1,3.96,1,0,1,0,1,0,0
347,PALERMO,3,6,1,2.54,0,1,1,0,0,0,0
348,"PANORAMA BUNGALOWS EL GOUNA",4,15,1,4.22,0,1,1,0,0,1,0
349,"PANORAMA BUNGALOWS HURGHADA",4,5,1,4.15,0,1,1,0,0,1,0
350,"PANORAMA NAAMA HEIGHTS",4,6,1,3.72,0,0,0,1,1,0,0
351,"PARADISE RED SEA (EX. GOLDEN 5 PARADISE)",5,5,1,3.92,1,0,1,1,0,0,0
352,"PARK INN BY RADISSON SHARM EL SHEIKH RESORT",4,6,1,4.15,1,0,1,0,0,0,0
353,"PENSEE BEACH RESORT (EX. PENSEE ROYAL GARDEN)",4,11,1,3.96,0,1,0,0,0,1,0
354,"AL MASHRABIYA (EX. PHARAO HOTEL AL MASHRABIA)",3,5,1,3.26,1,1,1,0,1,1,0
355,"PREMIUM BEACH RESORT (EX. SEA GULL PREMIUM RESORT)",4,5,1,3.56,0,1,0,0,0,1,0
356,"SENSIMAR PREMIER LE REVE HOTEL & SPA",5,5,1,4.82,0,1,0,1,0,1,0
357,"PREMIER ROMANCE HOTEL",5,5,1,4.63,0,1,0,1,1,0,0
358,"RIXOS SHARM EL SHEIKH (EX. PREMIER ROYAL GRAND AZURE)",5,6,1,4.74,0,1,1,0,0,1,0
359,"PRIMA LIFE MAKADI BAY",5,5,1,4.4,0,1,1,0,0,1,0
360,"PRINCESS PALACE",3,5,1,3.18,0,1,1,0,1,1,0
362,"PYRAMISA SAHL HASHEESH BEACH RESORT (EX. DESSOLE PYRAMISA SAHL HASHEESH)",5,5,1,4.41,0,1,1,0,0,1,0
363,"ROYAL LAGOONS (EX. PREMIUM PYRAMISA BLUE LAGOON)",5,5,1,3.08,1,0,1,0,1,0,0
364,"PYRAMISA SSH (EX. DESSOLE PYRAMISA SSH)",5,6,1,4.49,0,1,1,0,0,1,0
365,"RADISSON BLU RESORT SHARM EL SHEKH",5,6,1,4.21,1,1,1,1,0,1,0
367,"RADISSON BLU RESORT EL QUSEIR",5,11,1,4.68,0,1,1,0,0,1,1
368,"TABA PARADISE RESORT (EX. RADISSON BLU RESORT TABA)",5,14,1,4.23,0,1,1,0,0,1,0
371,"REEF OASIS BEACH RESORT",5,6,1,4.4,1,0,1,1,0,1,1
372,"REEF OASIS BLUE BAY",5,6,1,4.58,1,0,1,0,0,1,1
373,"REEMYVERA BEACH PICKALBATROS",4,5,1,3.24,0,0,1,0,0,1,0
374,"REEMYVERA CHALET",3,5,1,3.8,0,1,1,1,0,0,0
375,"REEMYVERA FAMILY CLUB AQUAPARK",3,5,1,3.43,1,0,1,0,0,0,0
376,"REGENCY HOTEL",3,6,1,2.72,0,1,1,0,0,0,0
377,"REGENCY PLAZA",5,6,1,4.25,0,1,1,0,0,1,0
378,"REGINA STYLE",3,12,1,2.95,0,1,0,0,1,0,0
379,"REGINA SWISS INN RESORT (EX.REGINA AQUA PARK BEACH RESORTS)",4,5,1,3.51,1,0,1,0,1,1,0
380,"REHANA SHARM RESORT",4,6,1,4.24,1,1,1,0,0,0,0
381,"REHANA ROYAL BEACH & SPA",5,6,1,4.22,1,0,1,1,0,1,0
382,"RENAISSANCE GOLDEN VIEW BEACH",5,6,1,4.5,0,1,1,0,0,1,1
383,"RESTA GRAND RESORT",5,11,1,4.63,0,1,1,1,0,1,0
384,"RESTA REEF RESORT",4,11,1,4.36,1,0,1,0,0,1,0
385,"RESTA SHARM RESORT",4,6,1,3.91,0,1,0,0,0,0,0
386,"MONTE CARLO SHARM EL SHEIKH (EX. THE RITZ CARLTON)",5,6,1,4.36,0,1,1,1,0,1,1
387,"THE ROCK",3,6,1,2.6,0,1,1,0,1,0,0
388,"ROMA HOTEL",4,5,1,2.93,1,0,1,1,1,0,0
389,"ROYAL ALBATROS MODERNA",5,6,1,4.56,0,1,1,0,0,1,0
390,"LABRANDA ROYAL MAKADI (EX. ROYAL AZUR)",5,5,1,4.18,1,0,1,1,0,1,0
391,"ROYAL CITY",2,5,1,2.26,0,0,0,0,1,0,0
393,"ROYAL GRAND SHARM",5,6,1,4.3,0,1,1,0,0,1,0
394,"ROYAL PALACE",4,5,1,3.53,1,0,1,0,1,1,0
395,"ROYAL PARADISE",4,6,1,2.86,0,1,1,1,0,0,0
396,"RAMADA PLAZA (EX. ROYAL PLAZA)",4,6,1,3.31,1,0,0,0,1,0,0
397,"DESSOLE ROYAL ROJANA RESORT",5,6,1,4.26,0,1,1,0,0,1,0
398,"LE SONESTA ROYAL COLLECTION LUXURY RESORT",5,6,1,4.5,1,0,1,0,1,1,0
399,"SABENA MARMARA",4,6,1,3.88,0,1,0,0,0,0,0
400,PASADENA,4,6,1,3.65,0,1,0,0,0,0,0
